Market,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AMEX,XPL,Solitario Exploration & Royalty Corp,0.91,$35.72M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xpl
AMEX,XRA,Exeter Resource Corporation,0.5005,$44.25M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
NYSE,X,United States Steel Corporation,24.01,$3.5B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/x
NYSE,XIN,Xinyuan Real Estate Co Ltd,3.19,$241.07M,2007,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/xin
NYSE,XRM,"Xerium Technologies, Inc.",15.11,$235.05M,2005,Basic Industries,Textiles,http://www.nasdaq.com/symbol/xrm
NYSE,XYL,Xylem Inc.,35.58,$6.49B,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/xyl
NASDAQ,XCRA,Xcerra Corporation,9.01,$490.38M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/xcra
NASDAQ,XONE,The ExOne Company,14.64,$211.44M,2013,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/xone
NASDAQ,XXIA,Ixia,11.86,$929.77M,2000,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/xxia
NYSE,XLS,Exelis Inc.,24.05,$4.48B,2011,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/xls
NASDAQ,XGTI,"XG Technology, Inc",0.4289,$10.73M,2013,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/xgti
NASDAQ,XGTIW,"XG Technology, Inc",0.27,n/a,2013,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/xgtiw
AMEX,XXII,"22nd Century Group, Inc",1.2,$77.2M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
NYSE,XNY,China Xiniya Fashion Limited,2.0001,$28.47M,2010,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/xny
NYSE,XHR,"Xenia Hotels & Resorts, Inc.",21.37,n/a,2015,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/xhr
NYSE,XOXO,"XO Group, Inc.",15.5,$416.69M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/xoxo
NYSE,XPO,"XPO Logistics, Inc.",45.4,$3.6B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/xpo
NYSE,XRS,TAL Education Group,31.05,$2.45B,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/xrs
NYSE,XUE,Xueda Education Group,2.67,$178.37M,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/xue
